item_nr,condition,text,corr_ans,is_practice_trial,snd,ZipfSUBTLEX,word_len
1,word,Akzente,ralt,FALSE,0.7164027571678162,2.71,7
1,pseudoword,Unwante,lalt,FALSE,0.5337819576263427,NA,7
2,word,Drücker,ralt,FALSE,0.5730487823486328,3.01,7
2,pseudoword,quokker,lalt,FALSE,0.5511313319206238,NA,7
3,word,Erwachsener,ralt,FALSE,0.68094801902771,3.95,11
3,pseudoword,Exzingsener,lalt,FALSE,0.532463276386261,NA,11
4,word,Exorzisten,ralt,FALSE,0.623507821559906,2.64,10
4,pseudoword,ucinzisten,lalt,FALSE,0.4170586884021759,NA,10
5,word,Fabel,ralt,FALSE,0.6343844771385193,2.6,5
5,pseudoword,Pafel,lalt,FALSE,0.5519994139671326,NA,5
6,word,Faulpelze,ralt,FALSE,0.5894608974456788,2.74,9
6,pseudoword,peigpelze,lalt,FALSE,0.5777982592582702,NA,9
7,word,Figuren,ralt,FALSE,0.730129063129425,4.38,7
7,pseudoword,Gowuren,lalt,FALSE,0.5398612499237061,NA,7
8,word,Filigrane,ralt,FALSE,0.6749974966049195,1.9,9
8,pseudoword,Gisiblase,lalt,FALSE,0.5315043568611145,NA,9
9,word,Geschicke,ralt,FALSE,0.4512565016746521,2.07,9
9,pseudoword,neschonke,lalt,FALSE,0.4765813112258911,NA,9
10,word,Gondel,ralt,FALSE,0.694788932800293,3.11,6
10,pseudoword,pändel,lalt,FALSE,0.4685015261173248,NA,6
11,word,Grabens,ralt,FALSE,0.7030543088912964,1.9,7
11,pseudoword,Phabert,lalt,FALSE,0.4602155029773712,NA,7
12,word,Jugendfreund,ralt,FALSE,0.6942409873008728,2.55,12
12,pseudoword,Kugendfrophs,lalt,FALSE,0.46399369835853577,NA,12
13,word,Kanaille,ralt,FALSE,0.6233633816242218,2.44,8
13,pseudoword,Kahästle,lalt,FALSE,0.5502094149589538,NA,8
14,word,Kanäle,ralt,FALSE,0.7313111901283265,3.59,6
14,pseudoword,Gamäse,lalt,FALSE,0.569668459892273,NA,6
15,word,Kollegium,ralt,FALSE,0.6807462811470032,2.67,9
15,pseudoword,Toffegizu,lalt,FALSE,0.5886507034301758,NA,9
16,word,Konstitution,ralt,FALSE,0.5881352543830871,2.83,12
16,pseudoword,Rabphimution,lalt,FALSE,0.6490052580833435,NA,12
17,word,Kontoauszug,ralt,FALSE,0.7553762316703796,2.29,11
17,pseudoword,pontoaantut,lalt,FALSE,0.5258643209934235,NA,11
18,word,Kreuzzug,ralt,FALSE,0.6723946928977966,3.21,8
18,pseudoword,Kräppzug,lalt,FALSE,0.5838892221450805,NA,8
19,word,Lobpreisung,ralt,FALSE,0.6400776147842407,1.9,11
19,pseudoword,Lobgliegung,lalt,FALSE,0.4863940000534058,NA,11
20,word,Maulwurf,ralt,FALSE,0.6095432043075562,3.68,8
20,pseudoword,Maumburg,lalt,FALSE,0.6654089689254761,NA,8
21,word,Media,ralt,FALSE,0.6375645875930787,4.3,5
21,pseudoword,Tebio,lalt,FALSE,0.5062480270862579,NA,5
22,word,Miene,ralt,FALSE,0.5955802083015442,3.29,5
22,pseudoword,Tieme,lalt,FALSE,0.585215425491333,NA,5
23,word,Modepuppe,ralt,FALSE,0.6852511286735534,2.2,9
23,pseudoword,kidefutwe,lalt,FALSE,0.4394278407096862,NA,9
24,word,Mühle,ralt,FALSE,0.7439011693000793,3.55,5
24,pseudoword,Märle,lalt,FALSE,0.5912884473800659,NA,5
25,word,Nachmittagen,ralt,FALSE,0.7652954220771789,2.07,12
25,pseudoword,Pachtaftagen,lalt,FALSE,0.5562343835830689,NA,12
26,word,Parzellen,ralt,FALSE,0.7221179604530334,2.07,9
26,pseudoword,ponzellen,lalt,FALSE,0.5538101911544799,NA,9
27,word,Pocken,ralt,FALSE,0.6101339340209961,3.07,6
27,pseudoword,dükken,lalt,FALSE,0.5516306042671204,NA,6
28,word,Rasters,ralt,FALSE,0.6336023926734924,2.37,7
28,pseudoword,Hasteln,lalt,FALSE,0.5570526957511902,NA,7
29,word,Rechtswissenschaft,ralt,FALSE,0.7226301670074463,2.07,18
29,pseudoword,Rechtsfissenstrent,lalt,FALSE,0.5349531531333923,NA,18
30,word,Röntgen,ralt,FALSE,0.6505861282348633,3.53,7
30,pseudoword,Räckgen,lalt,FALSE,0.44801261425018313,NA,7
31,word,Satz,ralt,FALSE,0.7084255814552307,4.42,4
31,pseudoword,zatz,lalt,FALSE,0.4191389739513397,NA,4
32,word,Schwiegertochter,ralt,FALSE,0.7256255745887756,3.53,16
32,pseudoword,schreigerlächter,lalt,FALSE,0.4848301291465759,NA,16
33,word,Skonto,ralt,FALSE,0.6775692343711853,2.07,6
33,pseudoword,Knolto,lalt,FALSE,0.5444922566413879,NA,6
34,word,Sorge,ralt,FALSE,0.6871981501579285,5.24,5
34,pseudoword,Horke,lalt,FALSE,0.5920525789260864,NA,5
35,word,Sowjetbürger,ralt,FALSE,0.6360156536102295,2.07,12
35,pseudoword,fopfeträrger,lalt,FALSE,0.5394919991493226,NA,12
36,word,Staubwolke,ralt,FALSE,0.6388361573219299,2.37,10
36,pseudoword,Steibholne,lalt,FALSE,0.5931183934211731,NA,10
37,word,Straßenmädchen,ralt,FALSE,0.6056397080421447,2.67,14
37,pseudoword,spraxenwäschen,lalt,FALSE,0.4860538542270661,NA,14
38,word,Symptom,ralt,FALSE,0.7190479397773742,3.85,7
38,pseudoword,Sönttom,lalt,FALSE,0.4981197535991669,NA,7
39,word,Sägewerk,ralt,FALSE,0.7353127717971801,2.64,8
39,pseudoword,Vägevenk,lalt,FALSE,0.5346885442733764,NA,8
40,word,Tonabnehmer,ralt,FALSE,0.8105678558349609,1.9,11
40,pseudoword,ponaobeumer,lalt,FALSE,0.6096174836158752,NA,11
41,word,Touristen,ralt,FALSE,0.7653375267982483,3.81,9
41,pseudoword,Mexristen,lalt,FALSE,0.5045925438404083,NA,9
42,word,Treter,ralt,FALSE,0.5711556792259216,2.5,6
42,pseudoword,bretes,lalt,FALSE,0.5652069330215455,NA,6
43,word,Ungetüme,ralt,FALSE,0.6346166133880615,1.9,8
43,pseudoword,Abgegöbe,lalt,FALSE,0.6138100504875184,NA,8
44,word,Vereinfachung,ralt,FALSE,0.7012500047683716,2.2,13
44,pseudoword,Verausgapunkt,lalt,FALSE,0.5094305455684662,NA,13
45,word,Vertragsabschlüssen,ralt,FALSE,0.6929056763648986,1.9,19
45,pseudoword,Rerstiktabschlössen,lalt,FALSE,0.5017338931560517,NA,19
46,word,Vollbesitz,ralt,FALSE,0.4890198171138763,2.07,10
46,pseudoword,Vestbesice,lalt,FALSE,0.5516574382781982,NA,10
47,word,Vorbereitungen,ralt,FALSE,0.7225492715835571,3.88,14
47,pseudoword,Monbetierungen,lalt,FALSE,0.5166262507438659,NA,14
48,word,Wasserbetten,ralt,FALSE,0.6733402252197266,2.71,12
48,pseudoword,dössermatten,lalt,FALSE,0.5312971949577332,NA,12
49,word,Wäscheklammer,ralt,FALSE,0.6756623983383179,2.29,13
49,pseudoword,gäschephirmer,lalt,FALSE,0.5756566882133484,NA,13
50,word,Würstchen,ralt,FALSE,0.7608768343925476,4.02,9
50,pseudoword,Bünktchen,lalt,FALSE,0.5853792309761048,NA,9
51,word,Zinnsoldat,ralt,FALSE,0.5672741055488586,2.2,10
51,pseudoword,Perrsoldat,lalt,FALSE,0.576989209651947,NA,10
52,word,absichtlichen,ralt,FALSE,0.7231480956077576,2.2,13
52,pseudoword,anhangslichen,lalt,FALSE,0.5352254271507263,NA,13
53,word,addierst,ralt,FALSE,0.7433367848396302,2.29,8
53,pseudoword,aifierst,lalt,FALSE,0.5217259049415588,NA,8
54,word,allwissend,ralt,FALSE,0.6020989775657654,2.74,10
54,pseudoword,artkossend,lalt,FALSE,0.49040361642837527,NA,10
55,word,angegriffen,ralt,FALSE,0.7370517611503601,4.56,11
55,pseudoword,angeträrken,lalt,FALSE,0.5165632128715515,NA,11
56,word,angezogen,ralt,FALSE,0.6679317355155945,4.34,9
56,pseudoword,abbekägen,lalt,FALSE,0.5752430915832519,NA,9
57,word,ansehen,ralt,FALSE,0.6480193614959717,4.88,7
57,pseudoword,abbeßen,lalt,FALSE,0.5074726104736328,NA,7
58,word,antaten,ralt,FALSE,0.5801646828651428,2.92,7
58,pseudoword,abhiten,lalt,FALSE,0.4771673798561096,NA,7
59,word,armes,ralt,FALSE,0.6638900518417359,4.04,5
59,pseudoword,alnes,lalt,FALSE,0.46984496116638186,NA,5
60,word,auf,ralt,FALSE,0.6526150345802307,6.75,3
60,pseudoword,auz,lalt,FALSE,0.440744012594223,NA,3
61,word,aufeinanderprallen,ralt,FALSE,0.6685864329338074,2.07,18
61,pseudoword,auseinanterchinnen,lalt,FALSE,0.4922300159931183,NA,18
62,word,auffälliges,ralt,FALSE,0.7697383046150208,2.96,11
62,pseudoword,aushürliges,lalt,FALSE,0.6225390553474426,NA,11
63,word,auflasen,ralt,FALSE,0.60073823928833,1.9,8
63,pseudoword,aussaden,lalt,FALSE,0.4907484769821167,NA,8
64,word,aufschrecken,ralt,FALSE,0.6584206700325013,2.37,12
64,pseudoword,ausschwikken,lalt,FALSE,0.5496665239334106,NA,12
65,word,aufspielt,ralt,FALSE,0.6909094333648682,2.6,9
65,pseudoword,aufgleilt,lalt,FALSE,0.5250757336616516,NA,9
66,word,aufwendig,ralt,FALSE,0.8204465866088867,2.5,9
66,pseudoword,aufnendöl,lalt,FALSE,0.4656188249588013,NA,9
67,word,ausdenkt,ralt,FALSE,0.6832129836082459,2.71,8
67,pseudoword,aufdergt,lalt,FALSE,0.4924575686454773,NA,8
68,word,baufälliges,ralt,FALSE,0.7153390049934387,2.29,11
68,pseudoword,haukirliges,lalt,FALSE,0.6353488326072693,NA,11
69,word,befolgen,ralt,FALSE,0.707167136669159,4,8
69,pseudoword,benäugen,lalt,FALSE,0.5029022634029389,NA,8
