participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p015270,3,pseudoword,Torrerk,TRUE,ralt,949.2878001183273,22.971518599893898
p015270,3,word,korrekt,TRUE,ralt,713.7811002321541,25.459977800026536
p015270,5,pseudoword,tobreren,TRUE,lalt,1017.4027001485229,27.724461799953133
p015270,2,word,Mannes,TRUE,lalt,629.6884999610484,30.29657209990546
p015270,4,word,sagt,TRUE,lalt,710.9208996407688,32.473309699911624
p015270,1,word,Haie,TRUE,ralt,904.9975001253188,34.737917699851096
p015270,4,pseudoword,segt,TRUE,lalt,1308.357599657029,37.20362150017172
p015270,2,pseudoword,sanzes,TRUE,lalt,642.6694002002478,40.07642629975453
p015270,5,word,sicheren,TRUE,ralt,703.0854001641273,42.27066330006346
p015270,1,pseudoword,Bage,TRUE,lalt,761.9218998588622,44.53942129993811
p015270,81,pseudoword,emptöltig,FALSE,lalt,1590.0805997662246,49.38928020000458
p015270,114,word,rasselt,FALSE,lalt,1128.3350996673107,51.96809430001304
p015270,68,word,baufälliges,FALSE,ralt,895.4651998355985,54.12166430009529
p015270,146,pseudoword,zunandsgewägen,FALSE,lalt,1060.675400309265,56.034064299892634
p015270,103,pseudoword,lenmalimieren,FALSE,lalt,1041.4272998459635,58.11564379977062
p015270,86,word,erziehst,FALSE,ralt,520.4047998413444,60.18089050007984
p015270,90,pseudoword,riviert,FALSE,lalt,795.5358000472188,61.73010769998655
p015270,105,pseudoword,seteinagelesenischem,FALSE,lalt,637.6825999468565,63.54714429983869
p015270,69,word,befolgen,FALSE,ralt,564.1811997629702,65.21182119986042
p015270,150,pseudoword,otertesten,FALSE,lalt,662.1213997714221,66.81157359993085
p015270,82,pseudoword,itzgegerfonwende,FALSE,lalt,596.3620999827981,68.4790686997585
p015270,13,pseudoword,Kahästle,FALSE,lalt,590.1206000708044,70.09419149998575
p015270,102,pseudoword,Sauste,FALSE,lalt,539.3836996518075,71.7089852001518
p015270,5,word,Fabel,FALSE,ralt,691.4518000558019,73.2747677997686
p015270,106,word,lebenslänglich,FALSE,ralt,568.7857000157237,74.99300700007007
p015270,7,pseudoword,Gowuren,FALSE,lalt,652.9423999600112,76.59004619996995
p015270,92,pseudoword,räntere,FALSE,lalt,762.616999913007,78.27255460014567
p015270,108,pseudoword,fitzten,FALSE,ralt,520.5668001435697,80.05560429999605
p015270,43,pseudoword,Abgegöbe,FALSE,lalt,955.9860997833312,81.60552249988541
p015270,122,word,spuckten,FALSE,ralt,551.8346996977925,83.58682770002633
p015270,50,pseudoword,Bünktchen,FALSE,lalt,734.8214001394808,85.15917260013521
p015270,60,word,auf,FALSE,ralt,578.9354001171887,86.9184273998253
p015270,99,pseudoword,hößt,FALSE,lalt,905.3497998975216,88.5200543999672
p015270,15,pseudoword,Toffegizu,FALSE,lalt,596.658700145781,90.45073529984802
p015270,92,word,füttere,FALSE,ralt,601.9947002641857,92.06620220001788
p015270,55,word,angegriffen,FALSE,ralt,499.3997002020478,93.69877680018544
p015270,61,word,aufeinanderprallen,FALSE,ralt,637.6653998158872,95.21659669978544
p015270,123,pseudoword,Sprommen,FALSE,lalt,678.3483000472188,96.88051309995352
p015270,127,word,ungesetzlich,FALSE,ralt,602.9684999957681,98.580142499879
p015270,21,pseudoword,Tebio,FALSE,lalt,648.4102997928858,100.21247480018064
p015270,132,word,versteigere,FALSE,ralt,566.1097001284361,101.8802271001041
p015270,107,word,lediglich,FALSE,ralt,635.0620002485812,103.46098029986024
p015270,83,pseudoword,entschühmt,FALSE,ralt,535.4725001379848,105.1268230001442
p015270,120,pseudoword,seifle,FALSE,lalt,562.1437998488545,106.67835849989206
p015270,97,pseudoword,höfflachen,FALSE,lalt,641.385399736464,108.26217960007487
p015270,15,word,Kollegium,FALSE,ralt,609.3636001460254,109.9247726998292
p015270,120,word,siegle,FALSE,lalt,745.2658000402153,111.55716279987246
p015270,57,word,ansehen,FALSE,ralt,518.3096001856029,113.32294209999964
p015270,19,word,Lobpreisung,FALSE,ralt,594.2329000681639,114.87327860016376
p015270,94,word,gefallen,FALSE,ralt,516.7225999757648,116.48805439984426
p015270,23,pseudoword,kidefutwe,FALSE,lalt,519.435899797827,118.0380199002102
p015270,77,word,dunkle,FALSE,lalt,658.9835998602211,119.57015490019694
p015270,1,word,Akzente,FALSE,ralt,653.8398000411689,121.25310239987448
p015270,51,word,Zinnsoldat,FALSE,ralt,588.6347000487149,122.9399489001371
p015270,98,pseudoword,horfege,FALSE,lalt,641.7950000613928,124.5524573000148
p015270,89,pseudoword,feckst,FALSE,lalt,773.1241998262703,126.21849900018424
p015270,6,pseudoword,peigpelze,FALSE,lalt,659.1242998838425,128.01621200004593
p015270,10,pseudoword,pändel,FALSE,lalt,554.8441000282764,129.69919529976323
p015270,76,word,doch,FALSE,ralt,546.6871997341514,131.28139280015603
p015270,107,pseudoword,ledighens,FALSE,lalt,738.1452000699937,132.8649232001044
p015270,67,pseudoword,aufdergt,FALSE,lalt,721.5653997845948,134.61419179989025
p015270,9,pseudoword,neschonke,FALSE,lalt,639.5688001066446,139.78292870009318
p015270,135,word,vorschriftswidrig,FALSE,ralt,691.8111997656524,141.44346729991958
p015270,144,pseudoword,zeggt,FALSE,lalt,719.3486001342535,143.15935530001298
p015270,71,word,beliebteren,FALSE,ralt,537.7337001264095,144.90865630004555
p015270,105,word,lateinamerikanischer,FALSE,ralt,905.0517999567091,146.47441889997572
p015270,95,word,gesprochen,FALSE,lalt,504.41589998081326,148.4072703998536
p015270,14,word,Kanäle,FALSE,ralt,601.940399967134,149.93955190014094
p015270,129,pseudoword,verligtet,FALSE,lalt,635.4964999482036,151.57197930011898
p015270,47,pseudoword,Monbetierungen,FALSE,lalt,741.5593001060188,153.24021050008014
p015270,55,pseudoword,angeträrken,FALSE,lalt,889.9052003398538,155.00434539979324
p015270,58,word,antaten,FALSE,ralt,965.9230997785926,156.92045779991895
p015270,131,pseudoword,berschlußven,FALSE,lalt,686.7486997507513,158.90964299999175
p015270,64,word,aufschrecken,FALSE,ralt,625.6452002562582,160.61783570004627
p015270,67,word,ausdenkt,FALSE,ralt,601.2639002874494,162.2669640998356
p015270,77,pseudoword,bumsge,FALSE,lalt,738.5607003234327,163.88314789999276
p015270,54,pseudoword,artkossend,FALSE,lalt,1187.578099779785,165.6492479001172
p015270,112,word,offiziellem,FALSE,ralt,793.0870000272989,167.86491339979693
p015270,150,word,überlisten,FALSE,ralt,912.1884000487626,169.68057519989088
p015270,113,pseudoword,Nonfümiert,FALSE,lalt,794.905100017786,171.61307570012286
p015270,140,pseudoword,Austerbafer,FALSE,lalt,918.3694999665022,173.42893669987097
p015270,47,word,Vorbereitungen,FALSE,ralt,687.7472000196576,175.3824796001427
p015270,18,pseudoword,Kräppzug,FALSE,lalt,800.3221997059882,177.0936989998445
p015270,123,word,strammen,FALSE,lalt,983.8943001814188,178.92579260002822
p015270,42,pseudoword,bretes,FALSE,lalt,592.1461000107229,180.9255894999951
p015270,96,pseudoword,Klauchrertig,FALSE,lalt,656.0968002304435,182.54136939998716
p015270,48,pseudoword,dössermatten,FALSE,lalt,580.3257999941707,184.22409670008344
p015270,129,word,vergeltet,FALSE,lalt,963.2435999810696,185.82324359985068
p015270,109,word,naturalistischen,FALSE,ralt,1055.5084003135562,187.82055660011247
p015270,121,pseudoword,sopfeibt,FALSE,lalt,698.834499809891,189.888658599928
p015270,70,pseudoword,vezönlerten,FALSE,lalt,580.7087998837233,191.60385170020163
