participant_id,age,gender,dominant_hand,first_language,frame_rate_Hz,total_time_secs
p015270,21,male,right,german,59.63712006574679,603.7979159997776
p063288,20,female,right,german,60.12773535891583,679.4044951999967
p072235,34,male,right,german,118.65868275609247,541.8548450830858
p110412,24,female,right,german,NA,589.8353342079936
p153023,21,female,right,german,59.25592337013256,866.3454056999999
p241074,22,female,right,german,60.111019041130504,692.1515222580001
p255886,22,female,right,german,60.09839285850914,796.0340630998835
p389724,20,female,right,german,60.01172632472334,648.9698671000078
p445631,21,female,right,german,NA,743.3470338600018
p506691,21,female,left,german,60.00888131569487,731.5087446000252
p532670,22,female,right,german,59.93809593458238,682.9029432999996
p539652,22,male,right,german,NA,734.8968828409998
p551117,21,female,right,german,59.95683239921809,784.0844760949985
p555715,21,female,right,german,60.1384025194399,5887.074865
p596865,19,female,right,german,118.78700600536637,693.2906812500441
p697533,25,female,right,german,59.98217331597175,691.3680638999213
p813475,22,female,right,german,117.01945594763367,662.1396730409997
