word,ZipfSUBTLEX,fpmwSUBTLEX,word_len
kaufte,4.06,11.481536214968818,6
Kollegium,2.67,0.4677351412871981,9
undurchdringbar,2.37,0.23442288153199228,15
Figuren,4.38,23.9883291901949,7
schönste,4.22,16.595869074375596,8
aufspielt,2.6,0.3981071705534973,9
Pocken,3.07,1.174897554939529,6
wunderbaren,3.87,7.413102413009177,11
deinem,5.5,316.22776601683796,6
Sowjetbürger,2.07,0.11748975549395291,12
Wasserbetten,2.71,0.5128613839913648,12
auflasen,1.9,0.07943282347242814,8
naturalistischen,2.29,0.19498445997580455,16
lediglich,4.07,11.748975549395302,9
vergeltet,2.07,0.11748975549395291,9
Zinnsoldat,2.2,0.15848931924611143,10
Kontoauszug,2.29,0.19498445997580455,11
Symptom,3.85,7.07945784384138,7
hört,5.42,263.02679918953817,4
durchquerten,2.5,0.31622776601683794,12
wahnsinnig,4.55,35.481338923357534,10
verschmutzen,2.74,0.5495408738576248,12
angezogen,4.34,21.87761623949552,9
berauschten,1.9,0.07943282347242814,11
Filigrane,1.9,0.07943282347242814,9
ergiebigen,1.9,0.07943282347242814,10
Akzente,2.71,0.5128613839913648,7
vorschriftswidrig,2.2,0.15848931924611143,17
Erwachsener,3.95,8.91250938133746,11
armes,4.04,10.964781961431852,5
Staubwolke,2.37,0.23442288153199228,10
zerrinnen,1.9,0.07943282347242814,9
baufälliges,2.29,0.19498445997580455,11
dunkle,4.15,14.125375446227554,6
erziehst,2.2,0.15848931924611143,8
zurechtgebogen,2.07,0.11748975549395291,14
antaten,2.92,0.8317637711026709,7
Schwiegertochter,3.53,3.388441561392024,16
absichtlichen,2.2,0.15848931924611143,13
lateinamerikanischer,1.9,0.07943282347242814,20
spuckten,2.44,0.2754228703338166,8
Ungetüme,1.9,0.07943282347242814,8
verzieren,2.5,0.31622776601683794,9
Tonabnehmer,1.9,0.07943282347242814,11
auf,6.75,5623.413251903491,3
festzumachen,2.5,0.31622776601683794,12
gefallen,5.3,199.52623149688787,8
Media,4.3,19.952623149688787,5
schwindelte,1.9,0.07943282347242814,11
Jugendfreund,2.55,0.3548133892335753,12
zackiger,2.2,0.15848931924611143,8
Röntgen,3.53,3.388441561392024,7
zeugt,3.3,1.9952623149688788,5
Treter,2.5,0.31622776601683794,6
beschämen,2.85,0.707945784384138,9
auffälliges,2.96,0.9120108393559097,11
wunderschöne,4.16,14.45439770745928,12
Vertragsabschlüssen,1.9,0.07943282347242814,19
offiziellem,2.07,0.11748975549395291,11
letzten,5.33,213.79620895022325,7
Gondel,3.11,1.2882495516931336,6
Würstchen,4.02,10.471285480508985,9
ungesetzlich,2.83,0.6760829753919819,12
sogleich,2.94,0.8709635899560806,8
befolgen,4,10,8
Faulpelze,2.74,0.5495408738576248,9
Drücker,3.01,1.0232929922807537,7
Rasters,2.37,0.23442288153199228,7
garstiges,2.44,0.2754228703338166,9
Sorge,5.24,173.78008287493762,5
Grabens,1.9,0.07943282347242814,7
Vorbereitungen,3.88,7.585775750291836,14
behinderten,3.21,1.6218100973589298,11
fortbleiben,2.29,0.19498445997580455,11
entgegenkommende,1.9,0.07943282347242814,16
einfachsten,3.45,2.818382931264455,11
Fabel,2.6,0.3981071705534973,5
strammen,2.6,0.3981071705534973,8
lebenslänglich,3.77,5.88843655355589,14
doch,6.39,2454.7089156850284,4
ferneren,1.9,0.07943282347242814,8
kreiere,2.67,0.4677351412871981,7
addierst,2.29,0.19498445997580455,8
schüchternste,1.9,0.07943282347242814,13
Satz,4.42,26.302679918953814,4
verkürzen,3.01,1.0232929922807537,9
gleichwertig,2.71,0.5128613839913648,12
interpretiert,3.29,1.9498445997580456,13
erschrickt,3.34,2.1877616239495516,10
Geschicke,2.07,0.11748975549395291,9
endgültig,3.99,9.772372209558112,9
versteigere,1.9,0.07943282347242814,11
verantwortungsvollen,2.2,0.15848931924611143,20
wegkomme,2.85,0.707945784384138,8
Miene,3.29,1.9498445997580456,5
Kanäle,3.59,3.890451449942805,6
Touristen,3.81,6.456542290346556,9
Skonto,2.07,0.11748975549395291,6
reparierten,2.6,0.3981071705534973,11
konsolidieren,1.9,0.07943282347242814,13
wissenschaftlicheren,2.07,0.11748975549395291,20
haltmachen,2.29,0.19498445997580455,10
aufschrecken,2.37,0.23442288153199228,12
Konstitution,2.83,0.6760829753919819,12
gesprochen,5,100,10
ausdenkt,2.71,0.5128613839913648,8
telepathischen,2.29,0.19498445997580455,14
sympathisierst,2.2,0.15848931924611143,14
wundersamer,2.29,0.19498445997580455,11
schlaksigen,1.9,0.07943282347242814,11
Straßenmädchen,2.67,0.4677351412871981,14
füttere,3.41,2.570395782768865,7
zurückgeschreckt,1.9,0.07943282347242814,16
Rechtswissenschaft,2.07,0.11748975549395291,18
fickst,3.45,2.818382931264455,6
rasselt,2.2,0.15848931924611143,7
eintreffe,2.44,0.2754228703338166,9
Nachmittagen,2.07,0.11748975549395291,12
Parzellen,2.07,0.11748975549395291,9
entschärft,3.34,2.1877616239495516,10
fixiert,3.5,3.1622776601683795,7
Exorzisten,2.64,0.4365158322401661,10
Lobpreisung,1.9,0.07943282347242814,11
Mühle,3.55,3.5481338923357533,5
allwissend,2.74,0.5495408738576248,10
überlisten,3.33,2.1379620895022327,10
überlebensgroße,1.9,0.07943282347242814,15
Modepuppe,2.2,0.15848931924611143,9
angegriffen,4.56,36.3078054770101,11
Sägewerk,2.64,0.4365158322401661,8
aufeinanderprallen,2.07,0.11748975549395291,18
siegle,1.9,0.07943282347242814,6
überbelegt,2.2,0.15848931924611143,10
Vereinfachung,2.2,0.15848931924611143,13
beliebteren,1.9,0.07943282347242814,11
bewachten,2.85,0.707945784384138,9
niederzuhalten,1.9,0.07943282347242814,14
ansehen,4.88,75.85775750291836,7
verzeichnet,3.19,1.5488166189124812,11
Kreuzzug,3.21,1.6218100973589298,8
