word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
Haie,Hai-e,Sade,2/3,2,N,16,1.2,4,737,156,55,2,492,5346,8061,0,2,0.0,3,-22,-24,-13,0,0,0
Haie,Hai-e,Saße,2/3,2,N,8,1.6,4,737,156,56,5,492,5346,8061,0,-6,0.40000000000000013,3,-22,-23,-10,0,0,0
Haie,Hai-e,Taße,2/3,2,N,7,1.65,4,702,198,56,5,492,5346,8061,0,-7,0.44999999999999996,-32,20,-23,-10,0,0,0
Haie,Hai-e,Tade,2/3,2,N,19,1.05,4,702,198,55,2,492,5346,8061,0,5,-0.1499999999999999,-32,20,-24,-13,0,0,0
Haie,Hai-e,Kade,2/3,2,N,11,1.45,4,713,177,55,2,492,5346,8061,0,-3,0.25,-21,-1,-24,-13,0,0,0
Haie,Hai-e,Kaße,2/3,2,N,1,1.95,4,713,177,56,5,492,5346,8061,0,-13,0.75,-21,-1,-23,-10,0,0,0
Haie,Hai-e,Baße,2/3,2,N,6,1.7,4,791,195,56,5,492,5346,8061,0,-8,0.5,57,17,-23,-10,0,0,0
Haie,Hai-e,Baye,2/3,2,N,5,1.75,4,791,195,21,17,492,5346,8061,0,-9,0.55,57,17,-58,2,0,0,0
Haie,Hai-e,Bafe,2/3,2,N,5,1.75,4,791,195,141,5,492,5346,8061,0,-9,0.55,57,17,62,-10,0,0,0
Haie,Hai-e,Bage,2/3,2,N,22,1.0,4,791,195,139,6,492,5346,8061,0,8,-0.19999999999999996,57,17,60,-9,0,0,0
Mannes,Man-nes,zanzes,2/3,4,N,2,1.9,4,702,93,1318,209,1082,1415,1998,0,-4,0.2999999999999998,-42,-88,0,-94,-54,0,0
Mannes,Man-nes,Banzes,2/3,4,N,4,1.8,4,791,195,1318,209,1082,1415,1998,0,-2,0.19999999999999996,47,14,0,-94,-54,0,0
Mannes,Man-nes,tanzes,2/3,4,N,6,1.7,4,686,167,1318,209,1082,1415,1998,0,0,0.09999999999999987,-58,-14,0,-94,-54,0,0
Mannes,Man-nes,Sanzes,2/3,4,N,6,1.7,4,737,156,1318,209,1082,1415,1998,0,0,0.09999999999999987,-7,-25,0,-94,-54,0,0
Mannes,Man-nes,Kanzes,2/3,4,N,5,1.75,4,713,177,1318,209,1082,1415,1998,0,-1,0.1499999999999999,-31,-4,0,-94,-54,0,0
Mannes,Man-nes,Ranzes,2/3,4,N,7,1.65,4,859,139,1318,209,1082,1415,1998,0,1,0.04999999999999982,115,-42,0,-94,-54,0,0
Mannes,Man-nes,kanzes,2/3,4,N,2,1.9,4,701,176,1318,209,1082,1415,1998,0,-4,0.2999999999999998,-43,-5,0,-94,-54,0,0
Mannes,Man-nes,Hanzes,2/3,4,N,5,1.75,4,734,178,1318,209,1082,1415,1998,0,-1,0.1499999999999999,-10,-3,0,-94,-54,0,0
Mannes,Man-nes,Wanzes,2/3,4,N,4,1.8,4,803,195,1318,209,1082,1415,1998,0,-2,0.19999999999999996,59,14,0,-94,-54,0,0
Mannes,Man-nes,sanzes,2/3,4,N,2,1.9,4,807,145,1318,209,1082,1415,1998,0,-4,0.2999999999999998,63,-36,0,-94,-54,0,0
korrekt,kor-rekt,Torretz,2/3,5,N,0,2.95,4,702,109,754,293,912,5,65,0,-1,1.0500000000000003,1,-13,0,0,0,-15,0
korrekt,kor-rekt,Torrehl,2/3,5,N,0,3.0,4,702,109,754,293,912,5,46,0,-1,1.1,1,-13,0,0,0,-15,-19
korrekt,kor-rekt,Torreff,2/3,5,N,0,2.95,4,702,109,754,293,912,1,82,0,-1,1.0500000000000003,1,-13,0,0,0,-19,17
korrekt,kor-rekt,Torrerk,2/3,5,N,0,2.95,4,702,109,754,293,912,39,52,0,-1,1.0500000000000003,1,-13,0,0,0,19,-13
korrekt,kor-rekt,Torrefs,2/3,5,N,0,2.7,4,702,109,754,293,912,1,64,0,-1,0.8000000000000003,1,-13,0,0,0,-19,-1
