item_nr,condition,text,corr_ans,is_practice_trial
1,word,Akzente,ralt,FALSE
1,pseudoword,Unwante,lalt,FALSE
2,word,Drücker,ralt,FALSE
2,pseudoword,quokker,lalt,FALSE
3,word,Erwachsener,ralt,FALSE
3,pseudoword,Exzingsener,lalt,FALSE
4,word,Exorzisten,ralt,FALSE
4,pseudoword,ucinzisten,lalt,FALSE
5,word,Fabel,ralt,FALSE
5,pseudoword,Pafel,lalt,FALSE
6,word,Faulpelze,ralt,FALSE
6,pseudoword,peigpelze,lalt,FALSE
7,word,Figuren,ralt,FALSE
7,pseudoword,Gowuren,lalt,FALSE
8,word,Filigrane,ralt,FALSE
8,pseudoword,Gisiblase,lalt,FALSE
9,word,Geschicke,ralt,FALSE
9,pseudoword,neschonke,lalt,FALSE
10,word,Gondel,ralt,FALSE
10,pseudoword,pändel,lalt,FALSE
11,word,Grabens,ralt,FALSE
11,pseudoword,Phabert,lalt,FALSE
12,word,Jugendfreund,ralt,FALSE
12,pseudoword,Kugendfrophs,lalt,FALSE
13,word,Kanaille,ralt,FALSE
13,pseudoword,Kahästle,lalt,FALSE
14,word,Kanäle,ralt,FALSE
14,pseudoword,Gamäse,lalt,FALSE
15,word,Kollegium,ralt,FALSE
15,pseudoword,Toffegizu,lalt,FALSE
16,word,Konstitution,ralt,FALSE
16,pseudoword,Rabphimution,lalt,FALSE
17,word,Kontoauszug,ralt,FALSE
17,pseudoword,pontoaantut,lalt,FALSE
18,word,Kreuzzug,ralt,FALSE
18,pseudoword,Kräppzug,lalt,FALSE
19,word,Lobpreisung,ralt,FALSE
19,pseudoword,Lobgliegung,lalt,FALSE
20,word,Maulwurf,ralt,FALSE
20,pseudoword,Maumburg,lalt,FALSE
21,word,Media,ralt,FALSE
21,pseudoword,Tebio,lalt,FALSE
22,word,Miene,ralt,FALSE
22,pseudoword,Tieme,lalt,FALSE
23,word,Modepuppe,ralt,FALSE
23,pseudoword,kidefutwe,lalt,FALSE
24,word,Mühle,ralt,FALSE
24,pseudoword,Märle,lalt,FALSE
25,word,Nachmittagen,ralt,FALSE
25,pseudoword,Pachtaftagen,lalt,FALSE
26,word,Parzellen,ralt,FALSE
26,pseudoword,ponzellen,lalt,FALSE
27,word,Pocken,ralt,FALSE
27,pseudoword,dükken,lalt,FALSE
28,word,Rasters,ralt,FALSE
28,pseudoword,Hasteln,lalt,FALSE
29,word,Rechtswissenschaft,ralt,FALSE
29,pseudoword,Rechtsfissenstrent,lalt,FALSE
30,word,Röntgen,ralt,FALSE
30,pseudoword,Räckgen,lalt,FALSE
31,word,Satz,ralt,FALSE
31,pseudoword,zatz,lalt,FALSE
32,word,Schwiegertochter,ralt,FALSE
32,pseudoword,schreigerlächter,lalt,FALSE
33,word,Skonto,ralt,FALSE
33,pseudoword,Knolto,lalt,FALSE
34,word,Sorge,ralt,FALSE
34,pseudoword,Horke,lalt,FALSE
35,word,Sowjetbürger,ralt,FALSE
35,pseudoword,fopfeträrger,lalt,FALSE
36,word,Staubwolke,ralt,FALSE
36,pseudoword,Steibholne,lalt,FALSE
37,word,Straßenmädchen,ralt,FALSE
37,pseudoword,spraxenwäschen,lalt,FALSE
38,word,Symptom,ralt,FALSE
38,pseudoword,Sönttom,lalt,FALSE
39,word,Sägewerk,ralt,FALSE
39,pseudoword,Vägevenk,lalt,FALSE
40,word,Tonabnehmer,ralt,FALSE
40,pseudoword,ponaobeumer,lalt,FALSE
41,word,Touristen,ralt,FALSE
41,pseudoword,Mexristen,lalt,FALSE
42,word,Treter,ralt,FALSE
42,pseudoword,bretes,lalt,FALSE
43,word,Ungetüme,ralt,FALSE
43,pseudoword,Abgegöbe,lalt,FALSE
44,word,Vereinfachung,ralt,FALSE
44,pseudoword,Verausgapunkt,lalt,FALSE
45,word,Vertragsabschlüssen,ralt,FALSE
45,pseudoword,Rerstiktabschlössen,lalt,FALSE
46,word,Vollbesitz,ralt,FALSE
46,pseudoword,Vestbesice,lalt,FALSE
47,word,Vorbereitungen,ralt,FALSE
47,pseudoword,Monbetierungen,lalt,FALSE
48,word,Wasserbetten,ralt,FALSE
48,pseudoword,dössermatten,lalt,FALSE
49,word,Wäscheklammer,ralt,FALSE
