word,freq_count,spell_check_ok,cum_freq_count,SUBTLEX,Google00,Google00cum,Google00pm,ZipfSUBTLEX,ZipfGoogle
Ich,489637,1,930449,36633.29,4506068,15190524,2510.68246,7.56,6.4
Sie,366870,1,566657,22310.21,13823808,35381018,5847.75754,7.35,6.77
das,326943,1,515937,20313.28,45066596,56780837,9384.70928,7.31,6.97
ist,475043,1,507382,19976.46,43154392,43918032,7258.75109,7.3,6.86
du,342560,1,506555,19943.9,1923152,2660677,439.75541,7.3,5.64
nicht,422376,1,443722,17470.06,38334374,39503887,6529.18334,7.24,6.81
die,326305,1,409915,16139.02,170961824,204236386,33756.0911,7.21,7.53
es,261560,1,377458,14861.14,23614920,30887546,5105.07866,7.17,6.71
und,255151,1,367531,14470.29,157099890,160198542,26477.53754,7.16,7.42
der,235950,1,285513,11241.11,200767752,213886850,35351.11512,7.05,7.55
Was,146767,1,280565,11046.3,1944049,8387327,1386.25335,7.04,6.14
wir,166009,1,280268,11034.61,7409855,9602120,1587.03375,7.04,6.2
zu,229130,1,233923,9209.93,59472403,61004779,10082.84037,6.96,7
ein,185794,1,218031,8584.24,28480540,32735558,5410.51719,6.93,6.73
er,121771,1,214680,8452.3,15705428,19619934,3242.7732,6.93,6.51
in,182149,1,204750,8061.34,101411207,113074431,18688.88727,6.91,7.27
mir,158541,1,166463,6553.92,3164242,3303307,545.96898,6.82,5.74
mit,152783,1,163704,6445.29,39910825,42744231,7064.74583,6.81,6.85
Ja,105501,1,151904,5980.71,469720,2529820,418.12743,6.78,5.62
den,145530,1,151866,5979.21,60462545,61319706,10134.89135,6.78,7.01
wie,91198,1,151686,5972.12,17861682,20543632,3395.44156,6.78,6.53
mich,142969,1,144894,5704.71,2989664,3032096,501.14336,6.76,5.7
auf,131482,1,143699,5657.66,39362437,41474746,6854.92596,6.75,6.84
dass,123254,1,141710,5579.35,19137820,19656969,3248.89433,6.75,6.51
eine,118709,1,135672,5341.63,35990222,40329449,6665.63183,6.73,6.82
so,110711,1,134638,5300.92,13323854,16778127,2773.08072,6.72,6.44
aber,67062,1,133649,5261.98,11828005,13994336,2312.97709,6.72,6.36
hier,103938,1,128537,5060.71,5470536,6877823,1136.76326,6.7,6.06
hat,114762,1,122557,4825.27,11020847,11204478,1851.8707,6.68,6.27
sind,109934,1,118064,4648.37,18259704,18507906,3058.97775,6.67,6.49
dich,109070,1,117248,4616.24,457898,568619,93.98107,6.66,4.97
von,109563,1,116691,4594.31,61655024,63352844,10470.92742,6.66,7.02
haben,106711,1,116275,4577.94,8403634,8569719,1416.39901,6.66,6.15
für,106195,1,116214,4575.53,35627357,38491740,6361.89617,6.66,6.8
wenn,65002,1,114924,4524.75,8732991,11670293,1928.86038,6.66,6.29
war,106863,1,112074,4412.54,12937143,13201356,2181.91373,6.64,6.34
an,98024,1,102224,4024.73,23696358,24896746,4114.92214,6.6,6.61
habe,93527,1,95942,3777.39,3047382,3086855,510.1939,6.58,5.71
bin,91315,1,94899,3736.33,963800,1006919,166.42309,6.57,5.22
nur,80748,1,93462,3679.75,14387867,15246464,2519.9282,6.57,6.4
da,67905,1,93417,3677.98,4525592,6665209,1101.62252,6.57,6.04
noch,86716,1,93049,3663.49,10706787,11103441,1835.17136,6.56,6.26
Nein,77019,1,93036,3662.98,305231,480088,79.34871,6.56,4.9
dir,85986,1,92795,3653.49,459808,608818,100.62514,6.56,5
ihr,67939,1,91307,3594.91,3911437,4784696,790.81224,6.56,5.9
hast,68990,1,86857,3419.7,276617,331922,54.85991,6.53,4.74
einen,79612,1,85056,3348.79,12852918,13205390,2182.58047,6.52,6.34
uns,83376,1,84629,3331.98,3850778,3894124,643.61893,6.52,5.81
sich,83233,1,83756,3297.61,42974698,43116211,7126.2265,6.52,6.85
dem,74981,1,76345,3005.83,31436253,31963212,5282.86422,6.48,6.72
kann,67376,1,75197,2960.63,12152677,12304766,2033.72577,6.47,6.31
auch,69295,1,73515,2894.41,29153110,32379659,5351.69438,6.46,6.73
gut,54294,1,72129,2839.84,1793462,2025097,334.70705,6.45,5.52
schon,65985,1,71833,2828.18,4379141,4823385,797.20674,6.45,5.9
sein,68312,1,71378,2810.27,8733171,9458101,1563.23036,6.45,6.19
jetzt,52473,1,71014,2795.94,1610064,1955802,323.25401,6.45,5.51
